id,created_at,resolved_at,hold_hours,token,direction,trade_type,kronos,conviction,archetype,edge_source,leverage,entry_price,stop_loss,tp1_price,tp2_price,tp3_price,exit_price,outcome,pnl_pct,planned_risk_pct,realized_R
913,2026-04-23T00:02:12,2026-04-24T01:22:27,25.34,HBAR,LONG,,false,40,,,2x,0.090919,0.0896,0.0932,,,0.09085599,EXPIRED_LOSS,-0.0693,1.4507,-0.0478
930,2026-04-23T15:00:24,2026-04-24T10:32:28,19.53,HYPE,LONG,,false,39,,,2x,41.606,40.982,42.646,,,40.982,SL_HIT,-1.4998,1.4998,-1
937,2026-04-24T03:16:05,2026-04-24T10:36:28,7.34,PENDLE,SHORT,,false,26,,,2x,1.2976,1.317,1.265,,,1.317,SL_HIT,-1.4951,1.4951,-1
947,2026-04-24T10:49:02,2026-04-24T10:49:30,0.01,SEI,LONG,,false,64,,,2x,0.06416,0.0627,0.0666,,,0.0627,SL_HIT,-2.2756,2.2756,-1
950,2026-04-24T11:40:07,2026-04-24T11:40:35,0.01,TIA,SHORT,,false,61,,,2x,0.3534,0.3607,0.3412,,,0.3607,SL_HIT,-2.0656,2.0656,-1
917,2026-04-23T11:59:05,2026-04-24T11:59:37,24.01,WIF,SHORT,,false,48,,,2x,0.18007,0.1867,0.1691,,,0.18137497,EXPIRED_LOSS,-0.7247,3.6819,-0.1968
918,2026-04-23T11:59:06,2026-04-24T11:59:37,24.01,BNB,LONG,,false,33,,,2x,633.43,623.93,649.27,,,638.12498316,EXPIRED_WIN,0.7412,1.4998,0.4942
919,2026-04-23T11:59:06,2026-04-24T11:59:37,24.01,HYPE,LONG,,false,43,,,2x,41.119,40.502,42.147,,,41.04848091,EXPIRED_LOSS,-0.1715,1.5005,-0.1143
920,2026-04-23T11:59:50,2026-04-24T12:00:37,24.01,BTC,LONG,,false,36,,,2x,77686,76520.71,79628.15,,,78209.525954,EXPIRED_WIN,0.6739,1.5,0.4493
921,2026-04-23T12:00:50,2026-04-24T12:01:37,24.01,HBAR,LONG,,false,41,,,2x,0.090684,0.0893,0.093,,,0.09135896,EXPIRED_WIN,0.7443,1.5262,0.4877
922,2026-04-23T12:23:59,2026-04-24T12:24:02,24,ETH,LONG,,false,44,,,2x,2327.2,2292.29,2385.38,,,2327.9493584,EXPIRED_WIN,0.0322,1.5001,0.0215
923,2026-04-23T12:23:59,2026-04-24T12:24:02,24,DOGE,LONG,,false,33,,,2x,0.096629,0.0952,0.099,,,0.09822203,EXPIRED_WIN,1.6486,1.4789,1.1147
924,2026-04-23T12:27:29,2026-04-24T12:28:02,24.01,SEI,SHORT,,false,49,,,3x,0.060395,0.0637,0.0549,,,0.06267099,EXPIRED_LOSS,-3.7685,5.4723,-0.6887
955,2026-04-24T13:17:46,2026-04-24T13:18:45,0.02,SEI,LONG,,false,64,,,2x,0.06416,0.0629,0.0663,,,0.0629,SL_HIT,-1.9638,1.9638,-1
925,2026-04-23T14:41:35,2026-04-24T14:42:20,24.01,BTC,LONG,,false,46,,,2x,77805,76637.93,79750.13,,,77892.530625,EXPIRED_WIN,0.1125,1.5,0.075
926,2026-04-23T14:41:36,2026-04-24T14:42:20,24.01,ETH,LONG,,false,39,,,2x,2327.4,2292.49,2385.59,,,2312.6489388,EXPIRED_LOSS,-0.6338,1.5,-0.4225
927,2026-04-23T14:41:36,2026-04-24T14:42:20,24.01,DOGE,LONG,,false,33,,,2x,0.096601,0.0952,0.099,,,0.09783798,EXPIRED_WIN,1.2805,1.4503,0.8829
928,2026-04-23T14:41:36,2026-04-24T14:42:20,24.01,BNB,LONG,,false,29,,,2x,635.77,626.23,651.66,,,638.3702993,EXPIRED_WIN,0.409,1.5005,0.2726
929,2026-04-23T14:41:37,2026-04-24T14:42:20,24.01,HBAR,LONG,,false,34,,,2x,0.090725,0.0894,0.093,,,0.09089202,EXPIRED_WIN,0.1841,1.4605,0.1261
931,2026-04-23T15:01:04,2026-04-26T05:10:13,62.15,SEI,SHORT,,false,37,,,3x,0.061104,0.0638,0.0566,,,0.06015402,EXPIRED_WIN,1.5547,4.4121,0.3524
932,2026-04-24T03:08:52,2026-04-26T05:10:13,50.02,APT,LONG,,false,43,,,2x,0.95,0.9277,0.9872,,,0.96890025,EXPIRED_WIN,1.9895,2.3474,0.8475
933,2026-04-24T03:08:56,2026-04-26T05:10:13,50.02,WIF,LONG,,false,28,,,2x,0.18017,0.1775,0.1847,,,0.17899493,EXPIRED_LOSS,-0.6522,1.4819,-0.4401
934,2026-04-24T03:08:56,2026-04-26T05:10:13,50.02,ADA,LONG,,false,21,,,2x,0.24983,0.2461,0.2561,,,0.25011006,EXPIRED_WIN,0.1121,1.493,0.0751
935,2026-04-24T03:08:57,2026-04-26T05:10:13,50.02,NEAR,LONG,,false,38,,,2x,1.4024,1.379,1.442,,,1.40015055,EXPIRED_LOSS,-0.1604,1.6686,-0.0961
936,2026-04-24T03:09:08,2026-04-26T05:10:13,50.02,TRUMP,LONG,,false,31,,,2x,2.8638,2.812,2.951,,,2.812,SL_HIT,-1.8088,1.8088,-1
