id,source,token,direction,trade_type,entry_price,tp1_price,tp2_price,tp3_price,stop_loss,leverage,conviction,edge_score,kronos,kill_clock_hours,kill_clock_expires,outcome,pnl_pct,resolved_at,archetype,classification_source,scope,created_at
782,signals_tab,BNB,LONG,,631.50000000,647.29000000,,,622.03000000,2x,26,,f,24,2026-04-22 13:11:55.163,EXPIRED_WIN,1.9945,2026-04-22 13:12:36.365,,,global,2026-04-21 13:11:55.179577
781,signals_tab,DOGE,LONG,,0.09494500,0.09730000,,,0.09350000,2x,33,,f,24,2026-04-22 13:11:55.149,TP1_HIT,2.4804,2026-04-22 11:43:38.564,,,global,2026-04-21 13:11:55.159597
780,signals_tab,WIF,SHORT,,0.19841000,0.19340000,,,0.20140000,2x,29,,f,24,2026-04-22 13:11:55.139,TP1_HIT,2.5251,2026-04-21 17:18:45.209,,,global,2026-04-21 13:11:55.148295
779,signals_tab,SOL,SHORT,,85.37500000,83.24100000,,,86.65600000,2x,29,,f,24,2026-04-22 13:11:55.135,SL_HIT,-1.5004,2026-04-21 14:41:02.119,,,global,2026-04-21 13:11:55.137374
778,signals_tab,TAO,LONG,,247.10000000,253.28000000,,,243.39000000,2x,31,,f,24,2026-04-22 12:38:35.669,SL_HIT,-1.5014,2026-04-21 14:59:10.703,,,global,2026-04-21 12:38:35.671154
777,signals_tab,APT,SHORT,,0.93880000,0.91210000,,,0.95480000,2x,46,,f,24,2026-04-22 12:38:35.662,SL_HIT,-1.7043,2026-04-22 11:43:38.564,,,global,2026-04-21 12:38:35.664141
776,signals_tab,NEAR,SHORT,,1.38230000,1.34800000,,,1.40300000,2x,50,,f,24,2026-04-22 12:38:35.659,SL_HIT,-1.4975,2026-04-22 11:43:38.564,,,global,2026-04-21 12:38:35.66065
775,signals_tab,WIF,SHORT,,0.19956000,0.19460000,,,0.20260000,2x,39,,f,24,2026-04-22 12:38:35.635,TP1_HIT,2.4855,2026-04-21 17:18:45.209,,,global,2026-04-21 12:38:35.647103
774,signals_tab,SOL,SHORT,,85.68800000,83.54600000,,,86.97300000,2x,48,,f,24,2026-04-22 12:38:35.631,SL_HIT,-1.4996,2026-04-22 11:43:38.564,,,global,2026-04-21 12:38:35.633824
773,signals_tab,PENDLE,LONG,,1.36080000,1.39500000,,,1.34000000,2x,24,,f,24,2026-04-22 12:23:41.613,SL_HIT,-1.5285,2026-04-21 17:17:45.232,,,global,2026-04-21 12:23:41.614814
772,signals_tab,BNB,LONG,,633.63000000,649.47000000,,,624.13000000,2x,33,,f,24,2026-04-22 12:23:41.584,EXPIRED_WIN,1.4772,2026-04-22 12:24:19.058,,,global,2026-04-21 12:23:41.586305
771,signals_tab,DOGE,LONG,,0.09526300,0.09760000,,,0.09380000,2x,33,,f,24,2026-04-22 12:23:41.565,SL_HIT,-1.5357,2026-04-21 17:19:45.235,,,global,2026-04-21 12:23:41.575951
770,signals_tab,WIF,SHORT,,0.19948000,0.19450000,,,0.20250000,2x,39,,f,24,2026-04-22 12:23:41.552,TP1_HIT,2.4965,2026-04-21 17:18:45.209,,,global,2026-04-21 12:23:41.563524
769,signals_tab,SOL,SHORT,,85.71600000,83.57300000,,,87.00200000,2x,43,,f,24,2026-04-22 12:23:41.54,SL_HIT,-1.5003,2026-04-22 11:43:38.564,,,global,2026-04-21 12:23:41.542441
768,signals_tab,PENDLE,LONG,,1.36190000,1.39600000,,,1.34100000,2x,48,,f,24,2026-04-22 12:13:39.469,SL_HIT,-1.5346,2026-04-21 13:40:44.174,,,global,2026-04-21 12:13:39.470698
767,signals_tab,OP,LONG,,0.12411000,0.12720000,,,0.12220000,2x,43,,f,24,2026-04-22 12:13:39.463,SL_HIT,-1.5390,2026-04-21 13:37:44.186,,,global,2026-04-21 12:13:39.466422
766,signals_tab,APT,SHORT,,0.93990000,0.91320000,,,0.95590000,2x,34,,f,24,2026-04-22 12:13:39.449,SL_HIT,-1.7023,2026-04-22 11:43:38.564,,,global,2026-04-21 12:13:39.460261
765,signals_tab,NEAR,SHORT,,1.38810000,1.35300000,,,1.40900000,2x,45,,f,24,2026-04-22 12:13:39.446,SL_HIT,-1.5057,2026-04-22 11:43:38.564,,,global,2026-04-21 12:13:39.447538
764,signals_tab,SOL,SHORT,,85.81600000,83.67100000,,,87.10300000,2x,43,,f,24,2026-04-22 12:13:39.429,SL_HIT,-1.4997,2026-04-22 11:43:38.564,,,global,2026-04-21 12:13:39.431445
763,signals_tab,OP,LONG,,0.12570000,0.12880000,,,0.12380000,2x,40,,f,24,2026-04-22 11:39:17.797,SL_HIT,-1.5115,2026-04-21 12:20:16.682,,,global,2026-04-21 11:39:17.800879
762,signals_tab,APT,SHORT,,0.94670000,0.90760000,,,0.97020000,2x,43,,f,24,2026-04-22 11:39:17.794,SL_HIT,-2.4823,2026-04-22 11:43:38.564,,,global,2026-04-21 11:39:17.796395
761,signals_tab,NEAR,SHORT,,1.39500000,1.36000000,,,1.41600000,2x,42,,f,24,2026-04-22 11:39:17.789,TP1_HIT,2.5090,2026-04-21 17:18:45.209,,,global,2026-04-21 11:39:17.791299
760,signals_tab,WIF,SHORT,,0.20150000,0.19650000,,,0.20450000,2x,40,,f,24,2026-04-22 11:39:17.764,TP1_HIT,2.4814,2026-04-21 17:16:10.98,,,global,2026-04-21 11:39:17.776532
759,signals_tab,SOL,SHORT,,85.97300000,83.82400000,,,87.26300000,2x,40,,f,24,2026-04-22 11:39:17.759,SL_HIT,-1.5005,2026-04-22 11:43:38.564,,,global,2026-04-21 11:39:17.762091
758,trade_ideas,ONDO,LONG,DAY TRADE,0.25890000,0.27180000,0.28450000,0.29750000,0.24900000,1x,62,62%,f,4,2026-04-21 14:58:30.783,EXPIRED_LOSS,-1.0583,2026-04-21 14:59:10.703,,,global,2026-04-21 10:58:30.783826
757,trade_ideas,MSTR,LONG,DAY TRADE,174.85000000,181.20000000,187.50000000,193.00000000,168.50000000,2x,64,64%,f,4,2026-04-21 14:58:30.78,SL_HIT,-3.6317,2026-04-21 13:34:18.347,,,global,2026-04-21 10:58:30.780777
